title,genre_ids,year,original_language,TMDb_Rating
X-Men: Days of Future Past,"[28, 12, 14, 878]",2014,en,7.5
Star Trek Into Darkness,"[28, 12, 878]",2013,en,7.4
Jack the Giant Slayer,"[28, 10751, 14]",2013,en,5.5
The Great Gatsby,"[18, 10749]",2013,en,7.3
Prince of Persia: The Sands of Time,"[12, 14, 28, 10749]",2010,en,6.2
Pacific Rim,"[28, 878, 12]",2013,en,6.7
Transformers: Dark of the Moon,"[28, 878, 12]",2011,en,6.1
Indiana Jones and the Kingdom of the Crystal Skull,"[12, 28]",2008,en,5.7
The Good Dinosaur,"[12, 16, 10751]",2015,en,6.6
Brave,"[16, 12, 35, 10751, 28, 14]",2012,en,6.7
Star Trek Beyond,"[28, 12, 878]",2016,en,6.6
WALL·E,"[16, 10751]",2008,en,7.8
Rush Hour 3,"[28, 35, 80, 53]",2007,en,6.1
2012,"[28, 12, 878]",2009,en,5.6
A Christmas Carol,"[16, 18]",2009,en,6.6
Jupiter Ascending,"[878, 14, 28, 12]",2015,en,5.2
The Legend of Tarzan,"[28, 12]",2016,en,5.5
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","[12, 10751, 14]",2005,en,6.7
X-Men: Apocalypse,[878],2016,en,6.4
The Dark Knight,"[18, 28, 80, 53]",2008,en,8.2
Up,"[16, 35, 10751, 12]",2009,en,7.7
Monsters vs Aliens,"[16, 10751, 12, 878]",2009,en,6.0
Iron Man,"[28, 878, 12]",2008,en,7.4
Hugo,"[12, 18, 10751]",2011,en,7.0
Wild Wild West,"[28, 12, 35, 878, 37]",1999,en,5.1
The Mummy: Tomb of the Dragon Emperor,"[12, 28, 14]",2008,en,5.2
Suicide Squad,"[28, 12, 80, 14, 878]",2016,en,5.9
Evan Almighty,"[14, 35, 10751]",2007,en,5.3
Edge of Tomorrow,"[28, 878]",2014,en,7.6
Waterworld,"[12, 28]",1995,en,5.9
G.I. Joe: The Rise of Cobra,"[12, 28, 53, 878]",2009,en,5.6
Inside Out,"[18, 35, 16, 10751]",2015,en,8.0
The Jungle Book,"[10751, 12, 18, 14]",2016,en,6.7
Iron Man 2,"[12, 28, 878]",2010,en,6.6
Snow White and the Huntsman,"[12, 14, 18]",2012,en,5.8
Maleficent,"[14, 12, 28, 10751, 10749]",2014,en,7.0
Dawn of the Planet of the Apes,"[878, 28, 18, 53]",2014,en,7.3
The Lovers,"[28, 12, 878, 10749]",2015,en,4.8
47 Ronin,"[18, 28, 12, 14]",2013,en,5.9
Captain America: The Winter Soldier,"[28, 12, 878]",2014,en,7.6
Shrek Forever After,"[35, 12, 14, 16, 10751]",2010,en,6.0
Tomorrowland,"[12, 10751, 9648, 878]",2015,en,6.2
Big Hero 6,"[12, 10751, 16, 28, 35]",2014,en,7.8
Wreck-It Ralph,"[10751, 16, 35, 12]",2012,en,7.1
The Polar Express,"[12, 16, 10751, 14]",2004,en,6.4
Independence Day: Resurgence,"[28, 12, 878]",2016,en,4.9
How to Train Your Dragon,"[14, 12, 16, 10751]",2010,en,7.5
Terminator 3: Rise of the Machines,"[28, 53, 878]",2003,en,5.9
Guardians of the Galaxy,"[28, 878, 12]",2014,en,7.9
Interstellar,"[12, 18, 878]",2014,en,8.1
Inception,"[28, 53, 878, 9648, 12]",2010,en,8.1
Shin Godzilla,"[28, 12, 18, 27, 878]",2016,ja,6.5
The Hobbit: An Unexpected Journey,"[12, 14, 28]",2012,en,7.0
The Fast and the Furious,"[28, 80, 53]",2001,en,6.6
The Curious Case of Benjamin Button,"[14, 18, 53, 9648, 10749]",2008,en,7.3
X-Men: First Class,"[28, 878, 12]",2011,en,7.1
The Hunger Games: Mockingjay - Part 2,"[28, 12, 878]",2015,en,6.6
The Sorcerer's Apprentice,"[14, 12, 28, 35, 18]",2010,en,5.8
Poseidon,"[12, 28, 18, 53]",2006,en,5.5
Alice Through the Looking Glass,[14],2016,en,6.5
Shrek the Third,"[14, 12, 16, 35, 10751]",2007,en,6.0
Warcraft,"[28, 12, 14]",2016,en,6.3
Terminator Genisys,"[878, 28, 53, 12]",2015,en,5.8
The Chronicles of Narnia: The Voyage of the Dawn Treader,"[12, 10751, 14]",2010,en,6.2
Pearl Harbor,"[36, 10749, 10752]",2001,en,6.6
Transformers,"[12, 878, 28]",2007,en,6.6
Alexander,"[10752, 36, 28, 12, 18, 10749]",2004,en,5.6
Harry Potter and the Order of the Phoenix,"[12, 14, 10751, 9648]",2007,en,7.4
Harry Potter and the Goblet of Fire,"[12, 14, 10751]",2005,en,7.5
Hancock,"[14, 28]",2008,en,6.2
I Am Legend,"[18, 27, 28, 53, 878]",2007,en,6.9
Charlie and the Chocolate Factory,"[12, 35, 10751, 14]",2005,en,6.7
Ratatouille,"[16, 35, 10751, 14]",2007,en,7.5
Batman Begins,"[28, 80, 18]",2005,en,7.5
Madagascar: Escape 2 Africa,"[10751, 16]",2008,en,6.2
Night at the Museum: Battle of the Smithsonian,"[12, 14, 28, 35, 10751]",2009,en,5.9
X-Men Origins: Wolverine,"[12, 28, 53, 878]",2009,en,6.2
The Matrix Revolutions,"[12, 28, 53, 878]",2003,en,6.4
Frozen,"[16, 12, 10751]",2013,en,7.3
The Matrix Reloaded,"[12, 28, 53, 878]",2003,en,6.7
Thor: The Dark World,"[28, 12, 14]",2013,en,6.8
Mad Max: Fury Road,"[28, 12, 878, 53]",2015,en,7.2
Angels & Demons,"[53, 9648]",2009,en,6.5
Thor,"[12, 14, 28]",2011,en,6.6
Bolt,"[16, 10751, 12, 35]",2008,en,6.3
G-Force,"[14, 28, 12, 10751, 35]",2009,en,5.1
Wrath of the Titans,[12],2012,en,5.5
Dark Shadows,"[35, 14]",2012,en,5.7
Mission: Impossible - Rogue Nation,"[28, 12, 53]",2015,en,7.1
The Wolfman,"[18, 27, 53]",2010,en,5.5
Bee Movie,"[10751, 16, 12, 35]",2007,en,5.7
Kung Fu Panda 2,"[16, 10751]",2011,en,6.7
The Last Airbender,"[28, 12, 10751, 14]",2010,en,4.7
Mission: Impossible III,"[12, 28, 53]",2006,en,6.5
White House Down,"[28, 18, 53]",2013,en,6.4
Mars Needs Moms,"[12, 16, 10751]",2011,en,5.5
Flushed Away,"[12, 16, 35, 10751]",2006,en,6.0
Pan,"[12, 10751, 14]",2015,en,5.9
Mr. Peabody & Sherman,"[16, 12, 10751]",2014,en,6.7
Troy,"[12, 18, 10752]",2004,en,6.9
Madagascar 3: Europe's Most Wanted,"[16, 10751]",2012,en,6.4
Die Another Day,"[12, 28, 53]",2002,en,5.8
Ghostbusters,"[28, 14, 35]",2016,en,5.3
Armageddon,"[28, 53, 878, 12]",1998,en,6.4
Men in Black II,"[28, 12, 35, 878]",2002,en,6.0
Beowulf,"[12, 28, 16]",2007,en,5.5
Kung Fu Panda 3,"[28, 12, 16, 35, 10751]",2016,en,6.7
Mission: Impossible - Ghost Protocol,"[28, 53, 12]",2011,en,6.8
Rise of the Guardians,"[14, 16, 10751]",2012,en,7.1
Fun with Dick and Jane,[35],2005,en,5.9
The Last Samurai,"[18, 28, 10752, 36]",2003,en,7.3
Exodus: Gods and Kings,"[12, 18, 28]",2014,en,5.6
Star Trek,"[878, 28, 12]",2009,en,7.4
Spider-Man,"[14, 28]",2002,en,6.8
How to Train Your Dragon 2,"[14, 28, 12, 16, 35, 10751]",2014,en,7.6
Gods of Egypt,[14],2016,en,5.3
Stealth,[28],2005,en,4.9
Watchmen,"[28, 9648, 878]",2009,en,7.0
Lethal Weapon 4,"[28, 12, 35, 80, 53]",1998,en,6.3
Hulk,"[18, 28, 878]",2003,en,5.3
G.I. Joe: Retaliation,"[12, 28, 878, 53]",2013,en,5.4
Sahara,"[28, 12, 35, 18, 9648]",2005,en,5.7
Final Fantasy: The Spirits Within,"[12, 28, 16, 14, 878, 53]",2001,en,5.9
Captain America: The First Avenger,"[28, 12, 878]",2011,en,6.6
The World Is Not Enough,"[12, 28, 53]",1999,en,6.0
Master and Commander: The Far Side of the World,[12],2003,en,6.9
The Twilight Saga: Breaking Dawn - Part 2,"[12, 14, 18, 10749]",2012,en,6.1
Happy Feet Two,"[16, 35, 10751]",2011,en,5.8
The Incredible Hulk,"[878, 28, 12]",2008,en,6.1
The BFG,"[12, 10751, 14]",2016,en,6.0
The Revenant,"[37, 18, 12, 53]",2015,en,7.3
Turbo,"[16, 10751]",2013,en,6.1
Rango,"[16, 35, 10751, 37, 12]",2011,en,6.6
Penguins of Madagascar,"[10751, 16, 12, 35]",2014,en,6.5
The Bourne Ultimatum,"[28, 18, 9648, 53]",2007,en,7.3
Kung Fu Panda,"[12, 16, 10751, 35]",2008,en,6.9
Ant-Man,"[878, 28, 12]",2015,en,7.0
The Hunger Games: Catching Fire,"[12, 28, 878]",2013,en,7.4
Home,"[14, 35, 16, 878, 10751]",2015,en,6.8
War of the Worlds,"[12, 53, 878]",2005,en,6.2
Bad Boys II,"[12, 28, 35, 53, 80]",2003,en,6.3
Puss in Boots,"[28, 12, 16, 10751, 14]",2011,en,6.4
Salt,"[28, 9648, 53]",2010,en,6.2
Noah,"[18, 12]",2014,en,5.6
The Adventures of Tintin,"[12, 16, 9648]",2011,en,6.7
Harry Potter and the Prisoner of Azkaban,"[12, 14, 10751]",2004,en,7.7
Australia,[18],2008,en,6.3
After Earth,"[878, 28, 12]",2013,en,5.0
Dinosaur,"[16, 10751]",2000,en,6.2
Night at the Museum: Secret of the Tomb,"[12, 35, 14, 10751]",2014,en,6.1
Megamind,"[16, 28, 35, 10751, 878]",2010,en,6.7
Harry Potter and the Philosopher's Stone,"[12, 14, 10751]",2001,en,7.5
R.I.P.D.,"[14, 28, 35, 80]",2013,en,5.4
Pirates of the Caribbean: The Curse of the Black Pearl,"[12, 14, 28]",2003,en,7.5
The Hunger Games: Mockingjay - Part 1,"[878, 12, 53]",2014,en,6.6
The Da Vinci Code,"[53, 9648]",2006,en,6.5
Rio 2,"[16, 12, 35, 10751]",2014,en,6.3
X2,"[12, 28, 878, 53]",2003,en,6.8
Fast Five,"[28, 53, 80]",2011,en,7.1
Sherlock Holmes: A Game of Shadows,"[12, 28, 80, 9648]",2011,en,7.0
Clash of the Titans,"[12, 14, 28]",2010,en,5.6
Total Recall,"[28, 12, 878]",1990,en,7.1
The 13th Warrior,"[12, 14, 28]",1999,en,6.4
The Bourne Legacy,"[28, 53]",2012,en,6.0
Batman & Robin,"[28, 80, 14]",1997,en,4.2
How the Grinch Stole Christmas,"[10751, 35, 14]",2000,en,6.2
The Day After Tomorrow,"[28, 12, 878, 53]",2004,en,6.2
Mission: Impossible II,"[12, 28, 53]",2000,en,5.9
The Perfect Storm,[18],2000,en,6.2
Fantastic 4: Rise of the Silver Surfer,"[12, 14, 28, 53]",2007,en,5.4
Life of Pi,"[12, 18, 28]",2012,en,7.2
Ghost Rider,"[53, 28, 14, 27]",2007,en,5.2
Jason Bourne,"[28, 53]",2016,en,5.9
Charlie's Angels: Full Throttle,"[28, 12, 35]",2003,en,5.2
Prometheus,"[878, 12, 9648]",2012,en,6.3
Stuart Little 2,"[10751, 12, 16, 35]",2002,en,5.4
Elysium,"[878, 28, 18, 53]",2013,en,6.4
The Chronicles of Riddick,"[28, 878]",2004,en,6.3
RoboCop,"[28, 878]",2014,en,5.7
Speed Racer,"[28, 10751, 878]",2008,en,5.7
How Do You Know,"[35, 18, 10749]",2010,en,4.9
Knight and Day,"[28, 35]",2010,en,5.9
Oblivion,"[28, 878, 12, 9648]",2013,en,6.4
Star Wars: Episode III - Revenge of the Sith,"[878, 12, 28]",2005,en,7.1
Star Wars: Episode II - Attack of the Clones,"[12, 28, 878]",2002,en,6.4
"Monsters, Inc.","[16, 35, 10751]",2001,en,7.5
The Wolverine,"[28, 878, 12, 14]",2013,en,6.3
Star Wars: Episode I - The Phantom Menace,"[12, 28, 878]",1999,en,6.3
The Croods,"[12, 16, 35, 10751, 14]",2013,en,6.8
Asterix at the Olympic Games,"[14, 12, 35, 10751]",2008,fr,5.0
Windtalkers,"[18, 28, 36, 10752]",2002,en,5.8
The Huntsman: Winter's War,"[28, 12, 18]",2016,en,6.0
Teenage Mutant Ninja Turtles,"[878, 28, 12, 14, 35]",2014,en,5.8
Gravity,"[878, 53, 18]",2013,en,7.3
Dante's Peak,"[28, 12, 53]",1997,en,5.7
Teenage Mutant Ninja Turtles: Out of the Shadows,"[14, 28, 12, 35]",2016,en,5.8
Fantastic Four,"[28, 12, 878]",2015,en,4.4
Night at the Museum,"[28, 12, 35, 10751, 14]",2006,en,6.3
San Andreas,"[28, 18, 53]",2015,en,6.0
Tomorrow Never Dies,"[12, 28, 53]",1997,en,6.0
The Patriot,"[18, 36, 10752, 28]",2000,en,6.8
Ocean's Twelve,"[53, 80]",2004,en,6.4
Mr. & Mrs. Smith,"[28, 35, 18, 53]",2005,en,6.5
Insurgent,"[12, 878, 53]",2015,en,6.2
The Aviator,[18],2004,en,7.0
Gulliver's Travels,[35],2010,en,4.9
The Green Hornet,"[28, 80, 35]",2011,en,5.5
300: Rise of an Empire,"[28, 10752]",2014,en,6.1
The Smurfs,"[16, 10751, 12, 35, 14]",2011,en,5.5
Home on the Range,"[16, 10751]",2004,en,5.7
Allegiant,"[12, 878]",2016,en,5.9
Real Steel,"[28, 878, 18]",2011,en,6.6
The Smurfs 2,"[14, 10751, 35, 16]",2013,en,5.5
Speed 2: Cruise Control,"[28, 12, 53]",1997,en,4.1
Ender's Game,"[878, 28, 12]",2013,en,6.6
Live Free or Die Hard,"[28, 53]",2007,en,6.4
The Lord of the Rings: The Fellowship of the Ring,"[12, 14, 28]",2001,en,8.0
Around the World in 80 Days,"[28, 12, 35]",2004,en,5.7
Ali,[18],2001,en,6.7
The Cat in the Hat,"[35, 14, 10751]",2003,en,4.9
"I, Robot","[28, 878]",2004,en,6.7
Kingdom of Heaven,"[18, 28, 12, 36, 10752]",2005,en,6.6
Stuart Little,"[16, 14, 10751, 35]",1999,en,5.8
The Princess and the Frog,"[10749, 10751, 16, 10402]",2009,en,6.7
The Martian,"[18, 12, 878]",2015,en,7.6
The Island,"[28, 53, 878, 12]",2005,en,6.5
Town & Country,"[35, 10749]",2001,en,3.7
Gone in Sixty Seconds,"[28, 80, 53]",2000,en,6.1
Gladiator,"[28, 18, 12]",2000,en,7.9
Minority Report,"[28, 53, 878, 9648]",2002,en,7.1
Harry Potter and the Chamber of Secrets,"[12, 14, 10751]",2002,en,7.4
Casino Royale,"[12, 28, 53]",2006,en,7.3
Planet of the Apes,"[53, 878, 28, 12]",2001,en,5.6
Terminator 2: Judgment Day,"[28, 53, 878]",1991,en,7.7
Public Enemies,"[36, 80, 18]",2009,en,6.5
American Gangster,"[18, 80]",2007,en,7.4
True Lies,"[28, 53]",1994,en,6.8
The Taking of Pelham 1 2 3,"[53, 18, 80]",2009,en,6.2
Little Fockers,"[35, 10749]",2010,en,5.4
The Other Guys,"[28, 35, 80]",2010,en,6.1
Eraser,"[28, 18, 9648, 53]",1996,en,5.6
Django Unchained,"[18, 37]",2012,en,7.8
The Hunchback of Notre Dame,"[18, 16, 10751]",1996,en,6.8
The Emperor's New Groove,"[12, 16, 35, 10751, 14]",2000,en,7.2
The Expendables 2,"[28, 12, 53]",2012,en,6.1
National Treasure,"[12, 28, 53, 9648]",2004,en,6.4
Eragon,"[14, 28, 12, 10751]",2006,en,4.9
Where the Wild Things Are,"[10751, 14]",2009,en,6.4
Epic,"[16, 12, 10751, 14]",2013,en,6.4
The Tourist,"[28, 53, 10749]",2010,en,6.0
End of Days,"[28, 14, 27, 9648]",1999,en,5.5
Blood Diamond,"[18, 53, 28]",2006,en,7.3
The Wolf of Wall Street,"[80, 18, 35]",2013,en,7.9
Batman Forever,"[28, 80, 14]",1995,en,5.2
Starship Troopers,"[12, 28, 53, 878]",1997,en,6.7
Cloud Atlas,"[18, 878]",2012,en,6.6
Legend of the Guardians: The Owls of Ga'Hoole,"[16, 12, 10751, 14]",2010,en,6.5
Catwoman,"[28, 80]",2004,en,4.2
Hercules,"[28, 12]",2014,en,5.6
Treasure Planet,"[12, 16, 10751, 14, 878]",2002,en,7.2
Land of the Lost,"[12, 35, 878]",2009,en,5.3
The Expendables 3,"[28, 12, 53]",2014,en,6.1
Point Break,"[28, 80, 53]",2015,en,5.5
Son of the Mask,"[14, 35, 10751, 12]",2005,en,3.6
In the Heart of the Sea,"[53, 18, 12, 28, 36]",2015,en,6.5
The Adventures of Pluto Nash,"[28, 35, 878]",2002,en,4.4
Green Zone,"[10752, 28, 12, 18, 53]",2010,en,6.4
The Peanuts Movie,[16],2015,en,6.5
The Spanish Prisoner,"[80, 18, 9648, 53]",1997,en,7.1
The Mummy Returns,"[12, 28, 14]",2001,en,6.0
Gangs of New York,"[18, 36, 80]",2002,en,7.1
The Flowers of War,"[18, 36, 10752]",2011,zh,7.1
Surf's Up,"[16, 35, 10751]",2007,en,5.9
The Stepford Wives,"[28, 35, 878]",2004,en,5.4
Black Hawk Down,"[28, 36, 10752]",2001,en,7.2
The Campaign,[35],2012,en,5.6
The Fifth Element,"[12, 14, 28, 53, 878]",1997,en,7.3
Sex and the City 2,"[35, 18, 10749]",2010,en,5.4
The Road to El Dorado,"[12, 16, 35, 10751]",2000,en,7.0
Ice Age: Continental Drift,"[16, 35, 12, 10751]",2012,en,6.2
Cinderella,"[10749, 14, 10751, 18]",2015,en,6.7
The Lovely Bones,"[14, 18]",2009,en,6.6
Finding Nemo,"[16, 10751]",2003,en,7.6
The Lord of the Rings: The Return of the King,"[12, 14, 28]",2003,en,8.1
The Lord of the Rings: The Two Towers,"[12, 14, 28]",2002,en,8.0
Seventh Son,"[12, 14]",2014,en,5.2
Lara Croft: Tomb Raider,"[12, 14, 28, 53]",2001,en,5.7
Transcendence,"[53, 878, 18, 9648]",2014,en,5.9
Jurassic Park III,"[12, 28, 53, 878]",2001,en,5.7
Rise of the Planet of the Apes,"[53, 28, 18, 878]",2011,en,7.0
The Spiderwick Chronicles,"[12, 10751, 14]",2008,en,6.3
A Good Day to Die Hard,"[28, 53]",2013,en,5.2
The Alamo,"[37, 36, 10752]",2004,en,5.8
The Incredibles,"[28, 12, 16, 10751]",2004,en,7.4
Cutthroat Island,"[28, 12]",1995,en,5.7
Percy Jackson & the Olympians: The Lightning Thief,"[12, 14, 10751]",2010,en,6.0
Men in Black,"[28, 12, 35, 878]",1997,en,6.9
Toy Story 2,"[16, 35, 10751]",1999,en,7.3
Unstoppable,"[28, 53]",2010,en,6.3
Rush Hour 2,"[28, 35, 80, 53]",2001,en,6.4
What Lies Beneath,"[18, 27, 9648, 53]",2000,en,6.3
Cloudy with a Chance of Meatballs,"[16, 35, 10751]",2009,en,6.5
Ice Age: Dawn of the Dinosaurs,"[16, 35, 10751, 12]",2009,en,6.5
The Secret Life of Walter Mitty,"[12, 35, 18, 14]",2013,en,7.0
Charlie's Angels,"[28, 12, 35, 80, 53]",2000,en,5.6
The Departed,"[18, 53, 80]",2006,en,7.9
Mulan,"[16, 10751, 12]",1998,en,7.6
Tropic Thunder,"[28, 35]",2008,en,6.5
The Girl with the Dragon Tattoo,"[53, 80, 9648, 18]",2011,en,7.2
Die Hard: With a Vengeance,"[28, 53]",1995,en,6.9
Sherlock Holmes,"[28, 12, 80, 9648]",2009,en,7.0
Ben-Hur,[18],2016,en,5.3
Atlantis: The Lost Empire,"[16, 10751, 12, 878]",2001,en,6.7
Alvin and the Chipmunks: The Road Chip,"[12, 16, 35, 10751]",2015,en,5.8
Valkyrie,"[18, 53, 36, 10752]",2008,en,6.7
You Don't Mess with the Zohan,"[35, 28]",2008,en,5.5
Pixels,"[28, 35, 878]",2015,en,5.6
A.I. Artificial Intelligence,"[18, 878, 12]",2001,en,6.8
The Haunted Mansion,"[53, 14, 35, 10751, 9648]",2003,en,5.2
Contact,"[18, 878, 9648]",1997,en,7.2
Hollow Man,"[28, 878, 53]",2000,en,5.6
The Interpreter,"[80, 53]",2005,en,6.2
Percy Jackson: Sea of Monsters,"[12, 10751, 14]",2013,en,5.9
Lara Croft Tomb Raider: The Cradle of Life,"[28, 12, 14, 53]",2003,en,5.5
Now You See Me 2,"[28, 12, 35, 80, 9648, 53]",2016,en,6.7
The Saint,"[53, 28, 10749, 878, 12]",1997,en,5.9
Spy Game,"[28, 80, 53]",2001,en,6.8
Mission to Mars,[878],2000,en,5.7
Rio,"[16, 12, 35, 10751]",2011,en,6.5
Bicentennial Man,"[35, 878]",1999,en,6.9
Volcano,"[878, 28, 18, 53]",1997,en,5.2
The Devil's Own,"[80, 53, 18]",1997,en,5.9
K-19: The Widowmaker,"[18, 36, 53]",2002,en,6.1
Conan the Barbarian,"[12, 14, 28]",1982,en,6.6
Cinderella Man,"[10749, 18, 36]",2005,en,7.3
The Nutcracker: The Untold Story,"[14, 28, 10751]",2010,en,5.4
Seabiscuit,"[18, 36]",2003,en,6.7
Twister,"[28, 12, 18]",1996,en,6.1
Cast Away,"[12, 18]",2000,en,7.5
Happy Feet,"[16, 35]",2006,en,5.9
The Bourne Supremacy,"[28, 18, 53]",2004,en,7.2
Air Force One,"[28, 53]",1997,en,6.2
Ocean's Eleven,"[53, 80]",2001,en,7.2
The Three Musketeers,"[12, 28, 53]",2011,en,5.6
Hotel Transylvania,"[16, 35, 10751, 14]",2012,en,6.8
Enchanted,"[35, 10751, 14, 10749]",2007,en,6.6
Safe House,"[28, 53]",2012,en,6.3
102 Dalmatians,"[35, 10751]",2000,en,5.1
Tower Heist,"[28, 35]",2011,en,5.8
The Holiday,"[35, 10749]",2006,en,6.7
Enemy of the State,"[28, 18, 53]",1998,en,6.7
It's Complicated,"[35, 10749]",2009,en,6.2
Ocean's Thirteen,"[80, 53]",2007,en,6.5
Open Season,"[12, 16, 10751]",2006,en,6.1
Divergent,"[12, 28, 878]",2014,en,6.9
Enemy at the Gates,[10752],2001,en,7.2
The Rundown,"[12, 28, 35, 53]",2003,en,6.4
Last Action Hero,"[12, 14, 28, 35, 10751]",1993,en,6.1
Memoirs of a Geisha,"[18, 36, 10749]",2005,en,7.3
The Fast and the Furious: Tokyo Drift,"[28, 80, 18, 53]",2006,en,6.1
Arthur Christmas,"[18, 16, 10751, 35]",2011,en,6.7
Meet Joe Black,"[14, 18, 9648]",1998,en,6.9
Collateral Damage,"[28, 53, 18]",2002,en,5.5
All That Jazz,"[18, 10402]",1979,en,7.3
Mirror Mirror,"[12, 14, 18, 35, 878, 10751]",2012,en,5.5
Scott Pilgrim vs. the World,"[28, 12, 35]",2010,en,7.2
The Core,"[28, 53, 12, 878]",2003,en,5.4
Nutty Professor II: The Klumps,"[14, 35, 10749, 878]",2000,en,4.7
Scooby-Doo,"[9648, 12, 35]",2002,en,5.4
Dredd,"[28, 878]",2012,en,6.6
Click,"[35, 18, 14, 10749]",2006,en,6.0
Creepshow,"[27, 35, 14]",1982,en,6.7
Cats & Dogs 2 : The Revenge of Kitty Galore,"[35, 10751]",2010,en,4.9
Jumper,"[12, 14, 878]",2008,en,5.9
Hellboy II: The Golden Army,"[12, 14, 878]",2008,en,6.5
Zodiac,"[80, 18, 9648, 53]",2007,en,7.3
The 6th Day,[878],2000,en,5.7
Bruce Almighty,"[14, 35]",2003,en,6.4
The Expendables,"[53, 12, 28]",2010,en,6.0
Mission: Impossible,"[12, 28, 53]",1996,en,6.7
The Hunger Games,"[878, 12, 14]",2012,en,6.9
The Hangover Part II,[35],2011,en,6.2
Batman Returns,"[28, 14]",1992,en,6.6
Over the Hedge,"[35, 16, 10751]",2006,en,6.3
Lilo & Stitch,"[16, 10751]",2002,en,7.1
Charlotte's Web,"[35, 10751, 14]",2006,en,5.8
Deep Impact,"[28, 18, 10749]",1998,en,5.9
RED 2,"[28, 35, 80, 53]",2013,en,6.4
The Longest Yard,"[35, 18]",2005,en,6.2
Alvin and the Chipmunks: Chipwrecked,"[35, 14, 10751, 10402, 16]",2011,en,5.4
Grown Ups 2,[35],2013,en,5.8
Get Smart,"[28, 35, 53]",2008,en,6.0
Something's Gotta Give,"[18, 35, 10749]",2003,en,6.3
Shutter Island,"[18, 53, 9648]",2010,en,7.8
Four Christmases,"[35, 10749, 18]",2008,en,5.3
Robots,"[16, 35, 10751, 878]",2005,en,6.0
Face/Off,"[28, 80, 878, 53]",1997,en,6.8
Bedtime Stories,"[14, 35, 10751, 10749]",2008,en,5.9
Road to Perdition,"[53, 80, 18]",2002,en,7.3
Just Go with It,"[10749, 35]",2011,en,6.3
Con Air,"[28, 53, 80]",1997,en,6.5
Eagle Eye,"[9648, 53, 28]",2008,en,6.3
Cold Mountain,[18],2003,en,6.7
The Book of Eli,"[28, 53, 878]",2010,en,6.6
Flubber,"[35, 10751, 878]",1997,en,5.3
The Haunting,"[27, 53, 14, 9648]",1999,en,5.2
Space Jam,"[16, 35, 18, 10751, 14]",1996,en,6.5
The Pink Panther,"[28, 35, 80, 9648, 10751]",2006,en,5.6
The Day the Earth Stood Still,"[18, 878, 53]",2008,en,5.2
